Trinity geneIDD	Automated name	Manually-curated name
c100031_g1	c100031-g1 1-to-1 FYCO1 FYVE and coiled-coil domain containing 1	NA
c100032_g1	c100032-g1	NA
c100032_g2	c100032-g2	NA
c100033_g1	c100033-g1 CPS1 (carbamoylphosphate synthase) - emapper OG	NA
c100034_g1	c100034-g1	NA
c100034_g2	c100034-g2	NA
c100034_g3	c100034-g3	NA
c100034_g4	c100034-g4	NA
c100035_g1	c100035-g1	NA
c100035_g2	c100035-g2	NA
c100036_g1	c100036-g1	NA
c100036_g2	c100036-g2	NA
c100036_g3	c100036-g3	NA
c100037_g1	c100037-g1 (ADP-ribosylglycohydrolase) - emapper OG	NA
c100038_g1	c100038-g1	NA
c100038_g2	c100038-g2	NA
c100039_g1	c100039-g1 (protein phosphatase 1, regulatory subunit) - emapper OG	NA
c100040_g1	c100040-g1 1-to-1 UBE2Z ubiquitin conjugating enzyme E2 Z	NA
c100041_g1	c100041-g1 1-to-1 PPIL3 peptidylprolyl isomerase like 3	NA
c100042_g1	c100042-g1	NA
c100042_g2	c100042-g2	NA
c100042_g3	c100042-g3	NA
c100043_g1	c100043-g1 (Poly(ADP-ribose) polymerase catalytic domain) - emapper OG	NA
c100044_g1	c100044-g1 5-to-3 EPHA4,EPHA3,EPHA6 EPH receptor A4	EphA/B I Ephrin Receptor
c100044_g2	c100044-g2 (Eph receptor) - emapper OG	EphA/B G Ephrin Receptor
c100044_g3	c100044-g3	NA
c100045_g1	c100045-g1 (ribosomal protein s6 kinase) - emapper OG	NA
c100046_g1	c100046-g1	NA
c100047_g1	c100047-g1 RAB22A (RAB22A, member RAS oncogene family) - emapper OG	NA
c100048_g1	c100048-g1 (26S protease regulatory subunit) - emapper OG	NA
c100049_g1	c100049-g1 (multicellular organismal development) - emapper OG	NA
c100050_g1	c100050-g1 (Fibronectin type III domain) - emapper OG	NA
c100051_g1	c100051-g1 STX7 (syntaxin 7) - blastp	NA
c100052_g1	c100052-g1 RNF213 (ring finger protein 213) - blastp	NA
c100052_g2	c100052-g1 RNF213 (ring finger protein 213) - blastp	NA
c100052_g3	c100052-g1 RNF213 (ring finger protein 213) - blastp	NA
c100053_g1	c100053-g1	NA
c100053_g2	c100053-g2 3-to-2 CASP2,CASP1 caspase 2	NA
c100054_g1	c100054-g1	NA
c100054_g2	c100054-g2	NA
c100054_g3	c100054-g3	NA
c100054_g4	c100054-g4	NA
c100054_g5	c100054-g5	NA
c100055_g1	c100055-g1	NA
c100055_g2	c100055-g2	NA
c100056_g1	c100056-g1 1-to-1 JMJD6 arginine demethylase and lysine hydroxylase	NA
c100056_g2	c100056-g2 (Inherit from KOG: Transient receptor potential cation channel subfamily A member) - emapper OG	NA
c100057_g1	c100057-g1 (L1 transposable element) - emapper OG	NA
c100058_g1	c100058-g1 FIS1 (fission 1 (mitochondrial outer membrane) homolog (S. cerevisiae)) - emapper OG	NA
c100059_g1	c100059-g1	NA
c100060_g1	c100060-g1 1-to-1 CSTF3 cleavage stimulation factor subunit 3	NA
c100060_g2	c100060-g1 1-to-1 CSTF3 cleavage stimulation factor subunit 3	NA
c100061_g1	c100061-g1 1-to-4 JPH3,JPH1,JPH2,JPH4 junctophilin 3	NA
c100061_g2	c100061-g1 1-to-4 JPH3,JPH1,JPH2,JPH4 junctophilin 3	NA
c100062_g1	c100023-g1 (Spastic ataxia of Charlevoix-Saguenay (Sacsin)) - emapper OG	NA
c100063_g1	c100063-g1 1-to-1 LTA4H leukotriene A4 hydrolase	NA
c100064_g1	c100064-g1	NA
c100064_g2	c100064-g2	NA
c100065_g1	c100065-g1	NA
c100066_g1	c100066-g1 HMCN1 (G2F domain) - emapper OG	NA
c100066_g2	c100066-g2	NA
c100066_g3	c100066-g3	NA
c100066_g4	c100066-g4 (Protein Tyrosine Phosphatase) - emapper OG	NA
c100067_g1	c100067-g1 MAPKBP1 (mitogen-activated protein kinase binding protein 1) - blastp	NA
c100067_g2	c100067-g1 MAPKBP1 (mitogen-activated protein kinase binding protein 1) - blastp	NA
c100068_g1	c100068-g1	NA
c100068_g2	c100068-g2	NA
c100068_g3	c100068-g3	NA
c100068_g4	c100068-g4	NA
c100068_g5	c100068-g5	NA
c100068_g6	c100068-g6 1-to-12 ZNF235,ZNF91,ZNF431,ZNF92... zinc finger protein 235	NA
c100069_g1	c100069-g1 1-to-1 CTSO cathepsin O	Cathepsin O
c100070_g1	c100070-g1	NA
c100071_g1	c100071-g1 1-to-2 NME8,NME9 NME/NM23 family member 8	NA
c100072_g1	c100072-g1 1-to-1 C17orf62 chromosome 17 open reading frame 62	NA
c100072_g2	c100072-g1 1-to-1 C17orf62 chromosome 17 open reading frame 62	NA
c100073_g1	c100073-g1	NA
c100073_g2	c100073-g2	NA
c100074_g1	c100074-g1 1-to-1 MRPS23 mitochondrial ribosomal protein S23	NA
c100075_g1	c100075-g1 1-to-1 PCID2 PCI domain containing 2	NA
c100075_g2	c100075-g2	NA
c100076_g1	c100076-g1	NA
c100076_g2	c100076-g2 1-to-1 SAP30BP SAP30 binding protein	NA
c100077_g1	c100077-g1	NA
c100077_g2	c100077-g1	NA
c100077_g3	c100077-g3	NA
c100078_g1	c100078-g1	NA
c100078_g2	c100078-g2	NA
c100078_g3	c100078-g3	NA
c100078_g4	c100078-g4	NA
c100079_g1	c100079-g1 1-to-2 SIAH2,SIAH3 siah E3 ubiquitin protein ligase 2	NA
c100080_g1	c100080-g1 9-to-1 USH2A usherin	NA
c100080_g2	c100080-g2 1-to-1 USH2A usherin	NA
c100081_g1	c100081-g1 1-to-1 GRAMD1B GRAM domain containing 1B	NA
c100082_g1	c100082-g1	NA
c100083_g1	c100083-g1 1-to-1 MADD MAP kinase activating death domain	NA
c100083_g2	c100083-g2	NA
c100084_g1	c100084-g1	NA
c100085_g1	c100085-g1 1-to-1 MCM3 minichromosome maintenance complex component 3	NA
c100086_g1	c100086-g1	NA
c100087_g1	c100087-g1	NA
c100088_g1	c100088-g1 2-to-1	NA
c100089_g1	c100089-g1 1-to-1 PRPF19 pre-mRNA processing factor 19	NA
c100090_g1	c100090-g1 (protein kinase kinase kinase) - emapper OG	NA
c100091_g1	c100091-g1 1-to-1 WDR43 WD repeat domain 43	NA
c100092_g1	c100092-g1	NA
c100092_g2	c100092-g2 1-to-1 TEX2 testis expressed 2	NA
c100093_g1	c100093-g1 1-to-1 HAL histidine ammonia-lyase	NA
c100094_g1	c100094-g1 1-to-1 ZFYVE1 zinc finger FYVE-type containing 1	NA
c100095_g1	c100095-g1	NA
c100095_g2	c100095-g2	NA
c100096_g1	c100096-g1 1-to-1 SCCPDH saccharopine dehydrogenase (putative)	NA
c100097_g1	c100097-g1 (Jacalin) - emapper OG	NA
c100098_g1	c100098-g1 EHBP1 (EH domain binding protein) - emapper OG	NA
c100098_g2	c100098-g1 EHBP1 (EH domain binding protein) - emapper OG	NA
c100099_g1	c100099-g1 1-to-1 TFG TRK-fused gene	NA
c100099_g2	c100099-g2	NA
c100100_g1	c100100-g1 3-to-2 KLHDC2,KLHDC1 kelch domain containing 2	NA
c100100_g2	c100100-g1 3-to-2 KLHDC2,KLHDC1 kelch domain containing 2	NA
c100100_g3	c100100-g3	NA
c100101_g1	c100101-g1	NA
c100102_g1	c100102-g1	NA
c100102_g2	c100102-g2 1-to-2 GLIS1,GLIS3 GLIS family zinc finger 1	NA
c100103_g1	c100103-g1	NA
c100103_g2	c100103-g2 1-to-1 EBP emopamil binding protein (sterol isomerase)	NA
c100103_g3	c100103-g3 ASH2L (ash2 (absent, small, or homeotic)-like (Drosophila)) - emapper OG	NA
c100104_g1	c100104-g1	NA
c100105_g1	c100105-g1 1-to-1 DYNC2H1 dynein cytoplasmic 2 heavy chain 1	NA
c100105_g2	c100105-g1 1-to-1 DYNC2H1 dynein cytoplasmic 2 heavy chain 1	NA
c100106_g1	c100106-g1 1-to-1 HTT huntingtin	NA
c100107_g1	c100107-g1 PRR5 (proline rich 5) - blastp	NA
c100108_g1	c100108-g1 (GTP-binding protein) - emapper OG	NA
c100109_g1	c100109-g1 1-to-1 RAPGEF1 Rap guanine nucleotide exchange factor 1	NA
c100109_g2	c100109-g1 1-to-1 RAPGEF1 Rap guanine nucleotide exchange factor 1	NA
c100109_g3	c100109-g1 1-to-1 RAPGEF1 Rap guanine nucleotide exchange factor 1	NA
c100109_g4	c100109-g1 1-to-1 RAPGEF1 Rap guanine nucleotide exchange factor 1	NA
c100110_g1	c100110-g1 1-to-1 KAZN kazrin, periplakin interacting protein	NA
c100110_g2	c100110-g2	NA
c100111_g1	c100111-g1	NA
c100112_g1	c100112-g1 1-to-1 PPP1R16B protein phosphatase 1 regulatory subunit 16B	NA
c100113_g1	c100113-g1 1-to-1 INIP INTS3 and NABP interacting protein	NA
c100114_g1	c100114-g1 GLA (N-acetylgalactosaminidase, alpha) - emapper OG	NA
c100115_g1	c100115-g1 (Gamma-glutamyl hydrolase) - emapper OG	NA
c100116_g1	c100116-g1 USP4 (ubiquitin specific peptidase) - emapper OG	NA
c100116_g2	c100116-g1 USP4 (ubiquitin specific peptidase) - emapper OG	NA
c100116_g3	c100116-g3	NA
c100116_g4	c100116-g1 USP4 (ubiquitin specific peptidase) - emapper OG	NA
c100117_g1	c100117-g1 1-to-4 EPN3,ENTHD1,EPN2,EPN1 epsin 3	NA
c100117_g2	c100117-g1 1-to-4 EPN3,ENTHD1,EPN2,EPN1 epsin 3	NA
c100117_g3	c100117-g3 JAG1 (Notch ligand involved in the mediation of Notch signaling (By similarity)) - emapper OG	EGF-like domain-containing
c100118_g1	c100118-g1 (Phytochelatin synthase) - emapper OG	NA
c100119_g1	c100119-g1 1-to-3 DCLK1,DCLK2,DCLK3 doublecortin like kinase 1	NA
c100120_g1	c100120-g1	NA
c100121_g1	c100121-g1	NA
c100121_g2	c100121-g2	NA
c100122_g1	c100122-g1	NA
c100123_g1	c100123-g1 2-to-7 CYP24A1,CYP27B1,CYP27A1,CYP11A1... cytochrome P450 family 24 subfamily A member 1	NA
c100124_g1	c100124-g1	NA
c100124_g2	c100124-g2	NA
c100124_g3	c100124-g3	NA
c100124_g4	c100124-g4 NCBP2 (nuclear cap binding protein subunit 2) - blastp	NA
c100125_g1	c100125-g1	NA
c100126_g1	c100126-g1 DCP1 (Dcp1-like decapping family) - emapper OG	NA
c100127_g1	c100127-g1 1-to-1 RPAP3 RNA polymerase II associated protein 3	NA
c100128_g1	c100128-g1 1-to-1 HDAC8 histone deacetylase 8	NA
c100129_g1	c100129-g1 1-to-3 DLC1,STARD13,STARD8 DLC1 Rho GTPase activating protein	NA
c100129_g2	c100129-g2 1-to-3 DLC1,STARD13,STARD8 DLC1 Rho GTPase activating protein	NA
c100130_g1	c100130-g1 (Phosphotransferase enzyme family) - emapper OG	NA
c100131_g1	c100131-g1	NA
c100132_g1	c100132-g1 (Cadherins are calcium dependent cell adhesion proteins (By similarity)) - emapper OG	NA
c100132_g2	c100132-g2 FAT2 (FAT tumor suppressor homolog) - emapper OG	NA
c100133_g1	c100133-g1	NA
c100134_g1	c100134-g1 (Inherit from COG: esterase) - emapper OG	NA
c100135_g1	c100135-g1 CDC20 (Required for full ubiquitin ligase activity of the anaphase promoting complex cyclosome (APC	NA
c100135_g2	c100135-g2 1-to-2 DYRK1A,DYRK1B dual specificity tyrosine phosphorylation regulated kinase 1A	NA
c100136_g1	c100136-g1 1-to-1 FGFR1OP FGFR1 oncogene partner	NA
c100137_g1	c100137-g1 1-to-1 WAPL WAPL cohesin release factor	NA
c100138_g1	c100138-g1	NA
c100139_g1	c100139-g1	NA
c100139_g2	c100139-g1	NA
c100140_g1	c100140-g1	NA
c100140_g2	c100140-g2 1-to-1 RFC1 replication factor C subunit 1	NA
c100141_g1	c100141-g1	NA
c100142_g1	c100142-g1 1-to-1 ZNF622 zinc finger protein 622	NA
c100143_g1	c100143-g1 1-to-1 DCAF7 DDB1 and CUL4 associated factor 7	NA
c100144_g1	c100144-g1	NA
c100144_g2	c100144-g1	NA
c100145_g1	c100145-g1 2-to-1 ASCC3 activating signal cointegrator 1 complex subunit 3	NA
c100145_g2	c100145-g1 2-to-1 ASCC3 activating signal cointegrator 1 complex subunit 3	NA
c100145_g3	c100145-g3 2-to-1 ASCC3 activating signal cointegrator 1 complex subunit 3	NA
c100145_g4	c100145-g4 2-to-1 ASCC3 activating signal cointegrator 1 complex subunit 3	NA
c100145_g5	c100145-g1 2-to-1 ASCC3 activating signal cointegrator 1 complex subunit 3	NA
c100146_g1	c100146-g1 1-to-1 MRPS9 mitochondrial ribosomal protein S9	NA
c100147_g1	c100147-g1 CCDC74A (coiledcoil domain containing) - emapper OG	NA
c100148_g1	c100148-g1 1-to-1 ADCK5 aarF domain containing kinase 5	NA
c100150_g1	c100150-g1	NA
c100151_g1	c100151-g1 1-to-1 SLC25A1 solute carrier family 25 member 1	NA
c100152_g1	c100152-g1 1-to-2 ERO1B,ERO1A endoplasmic reticulum oxidoreductase 1 beta	NA
c100153_g1	c100153-g1 MESDC1 (Mesoderm development candidate 1) - emapper OG	NA
c100154_g1	c100154-g1 1-to-2 DCUN1D1,DCUN1D2 defective in cullin neddylation 1 domain containing 1	NA
c100155_g1	c100155-g1 1-to-1 KANSL2 KAT8 regulatory NSL complex subunit 2	NA
c100156_g1	c100156-g1 1-to-2 AK5,AK1 adenylate kinase 5	NA
c100156_g2	c100156-g2 1-to-1 AK5 adenylate kinase 5	NA
c100157_g1	c100157-g1 1-to-1 ARL2BP ADP ribosylation factor like GTPase 2 binding protein	NA
c100158_g1	c100158-g1 1-to-1 NSDHL NAD(P) dependent steroid dehydrogenase-like	NA
c100159_g1	c100159-g1 COPS8 (COP9 constitutive photomorphogenic homolog subunit 8 (Arabidopsis)) - emapper OG	NA
c100160_g1	c100160-g1 1-to-1 ABHD10 abhydrolase domain containing 10	NA
c100161_g1	c100161-g1	NA
c100161_g2	c100161-g1	NA
c100162_g1	c100162-g1 1-to-1 NUDT19 nudix hydrolase 19	NA
c100163_g1	c100163-g1	NA
c100163_g2	c100163-g2 2-to-1 UNC93A unc-93 homolog A (C. elegans)	NA
c100164_g1	c100164-g1	NA
c100164_g2	c100164-g2 1-to-1 TDRD9 tudor domain containing 9	NA
c100164_g3	c100164-g2 1-to-1 TDRD9 tudor domain containing 9	NA
c100165_g1	c100165-g1 1-to-1 SF3A1 splicing factor 3a subunit 1	NA
c100166_g1	c100166-g1 1-to-1 DYNC2H1 dynein cytoplasmic 2 heavy chain 1	NA
c100166_g2	c100166-g1 1-to-1 DYNC2H1 dynein cytoplasmic 2 heavy chain 1	NA
c100167_g1	c100167-g1	NA
c100168_g1	c100168-g1	NA
c100169_g1	c100169-g1 GAR1 (GAR1 ribonucleoprotein homolog (yeast)) - emapper OG	NA
c100170_g1	c100170-g1	NA
c100170_g2	c100170-g2	NA
c100171_g1	c100171-g1	NA
c100172_g1	c100172-g1 1-to-1 DDX1 DEAD-box helicase 1	NA
c100173_g1	c100173-g1 1-to-1 NDUFA12 NADH:ubiquinone oxidoreductase subunit A12	NA
c100174_g1	c100174-g1 MRPL46 (mitochondrial ribosomal protein, L46) - emapper OG	NA
c100175_g1	c100175-g1	NA
c100176_g1	c100176-g1	NA
c100177_g1	c100177-g1 1-to-1 POLR3F RNA polymerase III subunit F	NA
c100178_g1	c100178-g1 1-to-1 FEN1 flap structure-specific endonuclease 1	NA
c100179_g1	c100179-g1 GBF1 (Golgi brefeldin A resistant guanine nucleotide exchange factor 1) - emapper OG	NA
c100179_g2	c100179-g2	NA
c100180_g1	c100180-g1 WFS1 (Wolfram syndrome 1 (wolframin)) - emapper OG	NA
c100180_g2	c100180-g1 WFS1 (Wolfram syndrome 1 (wolframin)) - emapper OG	NA
c100181_g1	c100181-g1 1-to-1 PDAP1 PDGFA associated protein 1	NA
c100181_g2	c100181-g2 ATAD5 (ATPase family, AAA domain containing 5) - emapper OG	NA
c100181_g3	c100181-g2 ATAD5 (ATPase family, AAA domain containing 5) - emapper OG	NA
c100181_g4	c100181-g2 ATAD5 (ATPase family, AAA domain containing 5) - emapper OG	NA
c100182_g1	c100182-g1	NA
c100182_g2	c100182-g2	NA
c100183_g1	c100183-g1	NA
c100184_g1	c100184-g1 (Inherit from opiNOG: HAD superfamily hydrolase) - emapper OG	NA
c100185_g1	c100185-g1 1-to-1 CARM1 coactivator associated arginine methyltransferase 1	NA
c100186_g1	c100186-g1	NA
c100186_g2	c100186-g2	NA
c100187_g1	c100187-g1 1-to-1 NDUFS2 NADH:ubiquinone oxidoreductase core subunit S2	NA
c100188_g1	c100188-g1 ANKS1A (ankyrin repeat and sterile alpha motif domain containing 1A) - blastp	NA
c100188_g2	c100188-g2 (chitin synthase) - emapper OG	NA
c100189_g1	c100189-g1	NA
c10019_g1	c10019-g1	NA
c100190_g1	c100190-g1 (transposon protein) - emapper OG	NA
c100191_g1	c100191-g1 1-to-1 ADI1 acireductone dioxygenase 1	NA
c100192_g1	c100192-g1 1-to-2 NKIRAS2,NKIRAS1 NFKB inhibitor interacting Ras like 2	NA
c100193_g1	c100193-g1	NA
c100193_g2	c100193-g2	NA
c100194_g1	c100194-g1 (Inherit from KOG: Dehydrogenase) - emapper OG	NA
c100194_g2	c100194-g2	NA
c100195_g1	c100195-g1	NA
c100195_g2	c100195-g2	NA
c100196_g1	c100196-g1 1-to-2 KPNA3,KPNA4 karyopherin subunit alpha 3	NA
c100197_g1	c100197-g1 1-to-1 KLHDC3 kelch domain containing 3	NA
c100198_g1	c100198-g1 1-to-1 MSMO1 methylsterol monooxygenase 1	NA
c100199_g1	c100199-g1 1-to-1 ATXN7L3 ataxin 7 like 3	NA
c100200_g1	c100200-g1 MERTK (MER proto-oncogene, tyrosine kinase) - blastp	NA
c100201_g1	c100201-g1 1-to-1 PDHX pyruvate dehydrogenase complex component X	NA
c100202_g1	c100202-g1 1-to-1 PPP1R7 protein phosphatase 1 regulatory subunit 7	NA
c100203_g1	c100203-g1 UBB (ubiquitin B) - emapper OG	NA
c100204_g1	c100204-g1 (member RAS oncogene family) - emapper OG	NA
c100205_g1	c100205-g1 SPATA5 (spermatogenesis associated 5) - blastp	NA
c100205_g2	c100205-g1 SPATA5 (spermatogenesis associated 5) - blastp	NA
c100205_g3	c100205-g3 (selenophosphate synthetase) - emapper OG	NA
c100206_g1	c100206-g1	NA
c100206_g2	c100206-g2 1-to-3 PSME2,PSME3,PSME1 proteasome activator subunit 2	NA
c100207_g1	c100207-g1	NA
c100208_g1	c100208-g1	NA
c100209_g1	c100209-g1	NA
c100210_g1	c100210-g1	NA
c100210_g2	c100210-g2	NA
c100211_g1	c100211-g1 ABCB6 (ATP-binding cassette, subfamily B (MDR TAP), member) - emapper OG	NA
c100211_g2	c100211-g1 ABCB6 (ATP-binding cassette, subfamily B (MDR TAP), member) - emapper OG	NA
c100212_g1	c100212-g1 2-to-2 CALR3,CALR calreticulin 3	NA
c100212_g2	c100212-g2 2-to-2 CALR3,CALR calreticulin 3	NA
c100213_g1	c100213-g1	NA
c100214_g1	c100214-g1 CFLAR (apoptosis-related cysteine peptidase) - emapper OG	NA
c100215_g1	c100215-g1 3-to-2 SLC37A2,SLC37A1 solute carrier family 37 member 2	Slc37A1/2 glucose-6-phosphate transporter
c100215_g2	c100215-g1 3-to-2 SLC37A2,SLC37A1 solute carrier family 37 member 2	Slc37A1/2 glucose-6-phosphate transporter
c100215_g3	c100215-g3 5-to-2 SLC37A2,SLC37A1 solute carrier family 37 member 2	NA
c100215_g4	c100215-g1 3-to-2 SLC37A2,SLC37A1 solute carrier family 37 member 2	Slc37A1/2 glucose-6-phosphate transporter
c100215_g5	c100215-g5	NA
c100215_g6	c100215-g6	NA
c100216_g1	c100216-g1 1-to-1 KIAA1143 KIAA1143	NA
c100217_g1	c100217-g1	NA
c100217_g2	c100217-g2	NA
c100218_g1	c100218-g1 7-to-2 HELZ,HELZ2 helicase with zinc finger	NA
c100219_g1	c100219-g1 EHBP1L1 (EH domain binding protein 1 like 1) - blastp	NA
c100219_g2	c100219-g2 ACTN4 (nucleoredoxin-like) - emapper OG	NA
c100220_g1	c100220-g1 5-to-2 SLC39A4,SLC39A12 solute carrier family 39 member 4	NA
c100220_g2	c100220-g1 5-to-2 SLC39A4,SLC39A12 solute carrier family 39 member 4	NA
c100221_g1	c100221-g1 1-to-1 POU1F1 POU class 1 homeobox 1	Pou1f1
c100222_g1	c100222-g1 (Inherit from COG: Retrotransposon protein) - emapper OG	NA
c100222_g2	c100222-g2 (Inherit from COG: Retrotransposon protein) - emapper OG	NA
c100223_g1	c100223-g1 1-to-1 CKAP5 cytoskeleton associated protein 5	NA
c100224_g1	c100224-g1	NA
c100224_g2	c100224-g2 1-to-1 HSPBP1 HSPA (Hsp70) binding protein 1	NA
c100225_g1	c100225-g1 1-to-1 NUS1 NUS1 dehydrodolichyl diphosphate synthase subunit	NA
c100226_g1	c100226-g1 MYCN (v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)) - emapper OG	NA
c100227_g1	c100227-g1	NA
c100227_g2	c100227-g2	NA
c100228_g1	c100228-g1 2-to-1 C9orf85 chromosome 9 open reading frame 85	NA
c100229_g1	c100229-g1	NA
c100229_g2	c100229-g2	NA
c100230_g1	c100230-g1 TRAF3 (TNF receptor-associated factor) - emapper OG	NA
c100231_g1	c100231-g1 1-to-1 FAF2 Fas associated factor family member 2	NA
c100232_g1	c100232-g1	NA
c100232_g2	c100232-g2	NA
c100232_g3	c100232-g3	NA
c100232_g4	c100232-g4	NA
c100232_g5	c100232-g5	NA
c100233_g1	c100233-g1	NA
c100233_g2	c100233-g2 (Inherit from KOG: Transient receptor potential cation channel subfamily A member) - emapper OG	NA
c100234_g1	c100234-g1	NA
c100235_g1	c100235-g1 1-to-1 EIF2AK4 eukaryotic translation initiation factor 2 alpha kinase 4	NA
c100236_g1	c100236-g1 (Rna-binding protein) - emapper OG	NA
c100237_g1	c100237-g1	NA
c100238_g1	c100238-g1 1-to-1 MPND MPN domain containing	NA
c100239_g1	c100239-g1	NA
c100239_g2	c100239-g2 3-to-1 FUT4 fucosyltransferase 4	NA
c100239_g3	c100239-g3	NA
c100240_g1	c100240-g1	NA
c100240_g2	c100240-g2 (Leucine-rich repeat kinase) - emapper OG	NA
c100240_g3	c100240-g3 (Leucine-rich repeat kinase) - emapper OG	NA
c100240_g4	c100240-g3 (Leucine-rich repeat kinase) - emapper OG	NA
c100241_g1	c100241-g1	NA
c100241_g2	c100241-g2 1-to-2 FRMD1,FRMD6 FERM domain containing 1	NA
c100241_g3	c100241-g2 1-to-2 FRMD1,FRMD6 FERM domain containing 1	NA
c100242_g1	c100242-g1 1-to-1 UTP18 UTP18, small subunit processome component	NA
c100243_g1	c100243-g1	NA
c100244_g1	c100244-g1 7-to-6 ALOX12,ALOXE3,ALOX12B,ALOX5... arachidonate 12-lipoxygenase, 12S type	NA
c100244_g2	c100244-g2 5-to-6 ALOX12,ALOXE3,ALOX12B,ALOX5... arachidonate 12-lipoxygenase, 12S type	NA
c100245_g1	c100245-g1 (Inherit from NOG: ectoine hydroxylase) - emapper OG	NA
c100246_g1	c100246-g1 B3GAT1 (beta-1,3-glucuronyltransferase 3 (glucuronosyltransferase I)) - emapper OG	NA
c100247_g1	c100247-g1 ANKRD27 (ankyrin repeat domain 27) - blastp	NA
c100248_g1	c100248-g1	NA
c100249_g1	c100249-g1	NA
c100249_g2	c100249-g2	NA
c100250_g1	c100250-g1	NA
c100250_g2	c100250-g2	NA
c100251_g1	c100251-g1 1-to-1 C10orf76 chromosome 10 open reading frame 76	NA
c100252_g1	c100252-g1 1-to-1 FBXW7 F-box and WD repeat domain containing 7	NA
c100253_g1	c100253-g1 GPR98 (G protein-coupled receptor 98) - emapper OG	NA
c100253_g2	c100253-g2 1-to-1 ADGRV1 adhesion G protein-coupled receptor V1	NA
c100253_g3	c100253-g2 1-to-1 ADGRV1 adhesion G protein-coupled receptor V1	NA
c100254_g1	c100254-g1	NA
c100255_g1	c100255-g1	NA
c100255_g2	c100255-g2	NA
c100255_g3	c100255-g3	NA
